Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,"School enrollment, secondary (% gross)",13.3170795440674,18.6647891998291,19.7837009429932,29.9304599761963,30.0831604003906,40.2233810424805,46.7327613830566,53.2468299865723,54.6161804199219,56.6773414611816,56.6886596679688,55.6561584472656,55.6444091796875,0,0
Albania,"School enrollment, secondary (% gross)",75.0189895629883,74.170280456543,76.8870620727539,77.9558868408203,81.2808685302734,83.6489181518555,85.409309387207,88.4116363525391,90.8483505249023,92.7414703369141,95.8315734863281,96.4260864257813,95.7654876708984,0,0
Algeria,"School enrollment, secondary (% gross)",73.7556610107422,77.2134017944336,78.7822265625,79.7915802001953,70.2812118530273,76.7558517456055,93.0700302124023,97.1719207763672,99.8601913452148,0,0,0,0,0,0
American Samoa,"School enrollment, secondary (% gross)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,"School enrollment, secondary (% gross)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,"School enrollment, secondary (% gross)",0,0,0,0,0,23.5545902252197,24.9924507141113,28.7813091278076,28.8987197875977,0,0,0,0,0,0
Antigua and Barbuda,"School enrollment, secondary (% gross)",0,0,0,0,102.672256469727,110.871238708496,108.522506713867,106.206718444824,106.116546630859,105.393508911133,0,102.318222045898,102.705459594727,0,0
Arab World,"School enrollment, secondary (% gross)",64.0377731323242,65.8538589477539,65.9310073852539,65.8479309082031,64.6981582641602,65.3422927856445,66.8289031982422,68.0508804321289,70.6914901733398,71.7165603637695,70.2746887207031,70.7350463867188,0,0,0
Argentina,"School enrollment, secondary (% gross)",95.7509918212891,95.4969329833984,94.005989074707,93.3450698852539,93.7067489624023,95.2462768554688,98.8308181762695,101.801116943359,103.599678039551,105.19255065918,106.323143005371,106.777900695801,0,0,0
Armenia,"School enrollment, secondary (% gross)",0,88.3207397460938,91.0585632324219,93.8858337402344,94.8729705810547,92.7056121826172,96.6328811645508,0,0,0,0,0,88.5023574829102,0,0
Aruba,"School enrollment, secondary (% gross)",99.0911712646484,97.25244140625,95.9288177490234,97.3563690185547,102.546356201172,94.6491317749023,96.7234420776367,95.8235397338867,97.0151214599609,111.174522399902,0,0,0,0,0
